Player▼,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK
Paul Pogba,MF,Manchester Utd,26,16,13,"1,204",13.4,1,3,1,0
Daniel Podence,"FW,MF",Wolves,23,9,3,289,3.2,1,0,1,0
Erik Pieters,"DF,MF",Burnley,30,24,21,"1,878",20.9,0,4,0,0
Brandon Pierrick,"DF,FW",Crystal Palace,17,2,0,15,0.2,0,0,0,0
Jordan Pickford,GK,Everton,25,38,38,"3,420",38,0,0,0,0
Ayoze Pérez,"MF,FW",Leicester City,26,33,26,"2,004",22.3,8,4,7,1
Roberto Pereyra,"FW,MF",Watford,28,28,17,"1,648",18.3,3,0,2,1
Ricardo Pereira,DF,Leicester City,25,28,28,"2,520",28,3,2,3,0
Andreas Pereira,"MF,FW",Manchester Utd,23,25,18,"1,484",16.5,1,3,1,0
Nicolas Pépé,FW,Arsenal,24,31,22,"2,010",22.3,5,6,4,1
Pedro,FW,Chelsea,32,11,8,661,7.3,1,1,1,0
João Pedro,"FW,MF",Watford,17,3,0,25,0.3,0,0,0,0
Rui Patrício,GK,Wolves,31,38,38,"3,420",38,0,0,0,0
Troy Parrott,"MF,DF",Tottenham,17,2,0,7,0.1,0,0,0,0
Sokratis Papastathopoulos,DF,Arsenal,31,19,19,"1,696",18.8,2,0,2,0
Emerson Palmieri,DF,Chelsea,24,15,13,"1,024",11.4,0,0,0,0
Mesut Özil,MF,Arsenal,30,18,18,"1,438",16,1,2,1,0
Alex Oxlade-Chamberlain,"MF,FW",Liverpool,25,30,17,"1,485",16.5,4,1,4,0
Nicolás Otamendi,DF,Manchester City,31,24,18,"1,715",19.1,2,0,2,0
Ben Osborn,"MF,DF",Sheffield Utd,24,13,6,594,6.6,0,0,0,0
Divock Origi,FW,Liverpool,24,28,7,717,8,4,1,4,0
Angelo Ogbonna,DF,West Ham,31,31,31,"2,786",31,2,0,2,0
Michael Obafemi,FW,Southampton,19,21,8,665,7.4,3,2,3,0
Jack O'Connell,DF,Sheffield Utd,25,33,32,"2,916",32.4,0,1,0,0
Ørjan Nyland,GK,Aston Villa,28,7,5,539,6,0,0,0,0
Oliver Norwood,MF,Sheffield Utd,28,38,37,"3,090",34.3,1,1,0,1
Mark Noble,MF,West Ham,32,33,32,"2,674",29.7,4,3,1,3
Eddie Nketiah,FW,Arsenal,20,13,7,633,7,2,0,2,0
Oumar Niasse,FW,Everton,29,3,0,22,0.2,0,0,0,0
Jeremy Ngakia,DF,West Ham,18,5,5,440,4.9,0,0,0,0
Rúben Neves,MF,Wolves,22,38,35,"3,056",34,2,2,2,0
Pedro Neto,"FW,MF",Wolves,19,29,9,939,10.4,3,3,3,0
Reiss Nelson,FW,Arsenal,19,17,7,631,7,1,0,1,0
Tanguy Ndombele,MF,Tottenham,22,21,12,"1,009",11.2,2,2,2,0
Wilfred Ndidi,MF,Leicester City,22,32,29,"2,674",29.7,2,1,2,0
Marvelous Nakamba,MF,Aston Villa,25,29,19,"1,836",20.4,0,0,0,0
Georges-Kévin N'Koudou,FW,Tottenham,24,1,0,3,0,0,0,0,0
Yoshinori Mutō,"FW,MF",Newcastle Utd,27,8,2,212,2.4,0,0,0,0
Shkodran Mustafi,DF,Arsenal,27,15,13,"1,207",13.4,0,1,0,0
Glenn Murray,FW,Brighton,35,23,7,797,8.9,1,1,1,0
João Moutinho,MF,Wolves,32,38,34,"3,108",34.5,1,6,1,0
Lys Mousset,FW,Sheffield Utd,23,30,11,"1,240",13.8,6,4,6,0
Lucas Moura,"FW,MF",Tottenham,26,35,25,"2,242",24.9,4,4,4,0
Mason Mount,"MF,FW",Chelsea,20,37,32,"2,867",31.9,7,5,7,0
Ravel Morrison,MF,Sheffield Utd,26,1,0,13,0.1,0,0,0,0
Wes Morgan,DF,Leicester City,35,11,4,436,4.8,0,0,0,0
Wesley Moraes,FW,Aston Villa,22,21,21,"1,782",19.8,5,1,5,0
Aaron Mooy,"MF,FW",Brighton,28,31,25,"2,085",23.2,2,2,2,0
Simon Moore,GK,Sheffield Utd,29,2,2,180,2,0,0,0,0
Martín Montoya,DF,Brighton,28,27,23,"1,896",21.1,0,1,0,0
Nacho Monreal,DF,Arsenal,33,3,3,270,3,0,0,0,0
Henrikh Mkhitaryan,FW,Arsenal,30,3,1,112,1.2,0,0,0,0
Tyrick Mitchell,DF,Crystal Palace,19,4,2,195,2.2,0,0,0,0
Tyrone Mings,DF,Aston Villa,26,33,33,"2,902",32.2,2,2,2,0
Takumi Minamino,"FW,MF",Liverpool,24,10,2,249,2.8,0,0,0,0
Yerry Mina,DF,Everton,24,29,25,"2,284",25.4,2,1,2,0
James Milner,"MF,DF",Liverpool,33,22,9,937,10.4,2,2,0,2
Luka Milivojević,MF,Crystal Palace,28,31,28,"2,513",27.9,3,1,1,2
Max Meyer,"MF,FW",Crystal Palace,23,17,6,655,7.3,0,0,0,0
Chris Mepham,DF,Bournemouth,21,12,10,912,10.1,1,0,1,0
Nampalys Mendy,MF,Leicester City,27,7,4,291,3.2,0,0,0,0
Benjamin Mendy,DF,Manchester City,25,19,18,"1,492",16.6,0,2,0,0
Ben Mee,DF,Burnley,29,32,32,"2,880",32,1,1,1,0
Scott McTominay,MF,Manchester Utd,22,27,20,"1,772",19.7,4,1,4,0
Dwight McNeil,MF,Burnley,19,38,38,"3,338",37.1,2,6,2,0
Kenny McLean,MF,Norwich City,27,37,32,"2,968",33,1,1,1,0
Michael McGovern,GK,Norwich City,35,2,1,159,1.8,0,0,0,0
David McGoldrick,FW,Sheffield Utd,31,28,22,"1,815",20.2,2,2,2,0
John McGinn,MF,Aston Villa,24,28,27,"2,312",25.7,3,3,3,0
James McCarthy,MF,Crystal Palace,28,33,16,"1,680",18.7,0,0,0,0
Alex McCarthy,GK,Southampton,29,28,28,"2,520",28,0,0,0,0
Oliver McBurnie,FW,Sheffield Utd,23,36,24,"2,113",23.5,6,0,6,0
James McArthur,MF,Crystal Palace,31,37,37,"3,090",34.3,0,3,0,0
Neal Maupay,FW,Brighton,22,37,30,"2,766",30.7,10,3,9,1
