Player▼,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK
John Egan,DF,Sheffield Utd,26,36,36,"3,187",35.4,2,0,2,0
Ederson,GK,Manchester City,25,35,35,"3,071",34.1,0,0,0,0
Lewis Dunk,DF,Brighton,27,36,36,"3,230",35.9,3,3,3,0
Paul Dummett,DF,Newcastle Utd,27,16,14,"1,228",13.6,0,0,0,0
Shane Duffy,DF,Brighton,27,19,12,"1,238",13.8,1,0,1,0
Ondrej Duda,MF,Norwich City,24,10,9,724,8,0,0,0,0
Martin Dúbravka,GK,Newcastle Utd,30,38,38,"3,420",38,0,0,0,0
Josip Drmić,"FW,MF",Norwich City,26,21,5,647,7.2,1,0,1,0
Danny Drinkwater,MF,Aston Villa,29,4,4,259,2.9,0,0,0,0
Danny Drinkwater,MF,Burnley,29,1,1,58,0.6,0,0,0,0
Thomas Doyle,MF,Manchester City,17,1,0,16,0.2,0,0,0,0
Abdoulaye Doucouré,MF,Watford,26,37,36,"3,156",35.1,4,2,4,0
Matt Doherty,DF,Wolves,27,36,32,"2,839",31.5,4,3,4,0
Moussa Djenepo,"MF,DF",Southampton,21,18,10,928,10.3,2,2,2,0
Issa Diop,DF,West Ham,22,32,31,"2,766",30.7,3,1,3,0
Virgil van Dijk,DF,Liverpool,28,38,38,"3,420",38,5,1,5,0
Lucas Digne,DF,Everton,26,35,35,"3,030",33.7,0,7,0,0
Eric Dier,"DF,MF",Tottenham,25,19,15,"1,344",14.9,0,2,0,0
Gerard Deulofeu,FW,Watford,25,28,25,"2,098",23.3,4,5,3,1
Leander Dendoncker,"MF,DF",Wolves,24,38,32,"2,795",31.1,4,0,4,0
Fabian Delph,MF,Everton,29,16,13,"1,190",13.2,0,0,0,0
Troy Deeney,FW,Watford,31,27,26,"2,225",24.7,10,2,5,5
Kevin De Bruyne,MF,Manchester City,28,35,32,"2,791",31,13,20,11,2
Craig Dawson,DF,Watford,29,29,26,"2,361",26.2,2,0,2,0
Keinan Davis,FW,Aston Villa,21,18,4,548,6.1,0,0,0,0
Tom Davies,MF,Everton,21,30,23,"2,027",22.5,1,0,1,0
Ben Davies,DF,Tottenham,26,18,16,"1,431",15.9,0,0,0,0
Kevin Danso,DF,Southampton,20,6,3,277,3.1,0,1,0,0
Scott Dann,DF,Crystal Palace,32,16,14,"1,266",14.1,0,1,0,0
Charlie Daniels,DF,Bournemouth,32,2,2,126,1.4,0,0,0,0
Diogo Dalot,"DF,MF",Manchester Utd,20,4,1,67,0.7,0,0,0,0
Patrick Cutrone,FW,Wolves,21,12,3,297,3.3,2,0,2,0
Aaron Cresswell,DF,West Ham,29,31,31,"2,727",30.3,3,0,3,0
Jack Cork,MF,Burnley,30,30,30,"2,613",29,0,0,0,0
Steve Cook,DF,Bournemouth,28,29,28,"2,428",27,1,0,1,0
Lewis Cook,MF,Bournemouth,22,27,14,"1,352",15,0,0,0,0
Aaron Connolly,FW,Brighton,19,24,14,"1,258",14,3,1,3,0
Séamus Coleman,DF,Everton,30,27,21,"1,839",20.4,0,1,0,0
Conor Coady,DF,Wolves,26,38,38,"3,420",38,0,0,0,0
Tom Cleverley,MF,Watford,29,18,11,971,10.8,1,0,1,0
Leon Clarke,"FW,MF",Sheffield Utd,34,2,0,35,0.4,0,0,0,0
Ciaran Clark,DF,Newcastle Utd,29,14,14,"1,186",13.2,2,0,2,0
Andreas Christensen,DF,Chelsea,23,21,21,"1,751",19.5,0,0,0,0
Hamza Choudhury,MF,Leicester City,21,20,10,893,9.9,1,1,1,0
Tahith Chong,"FW,DF",Manchester Utd,19,3,0,37,0.4,0,0,0,0
Ben Chilwell,DF,Leicester City,22,27,27,"2,373",26.4,3,3,3,0
Calum Chambers,DF,Arsenal,24,14,13,"1,102",12.2,1,1,1,0
Nathaniel Chalobah,MF,Watford,24,22,10,930,10.3,0,1,0,0
Dani Ceballos,MF,Arsenal,22,24,18,"1,692",18.8,0,2,0,0
Craig Cathcart,DF,Watford,30,29,28,"2,488",27.6,0,0,0,0
Jonny Castro,DF,Wolves,25,35,33,"2,887",32.1,2,2,2,0
Andy Carroll,FW,Newcastle Utd,30,19,4,632,7,0,4,0,0
Étienne Capoue,MF,Watford,31,30,30,"2,627",29.2,0,3,0,0
Todd Cantwell,"FW,MF",Norwich City,21,37,30,"2,489",27.7,6,2,6,0
João Cancelo,DF,Manchester City,25,17,13,"1,208",13.4,0,0,0,0
Víctor Camarasa,MF,Crystal Palace,25,1,0,6,0.1,0,0,0,0
Dominic Calvert-Lewin,FW,Everton,22,36,30,"2,626",29.2,13,1,13,0
Gary Cahill,DF,Crystal Palace,33,25,25,"2,167",24.1,0,1,0,0
Willy Caballero,GK,Chelsea,37,5,5,450,5,0,0,0,0
Sam Byram,DF,Norwich City,25,17,15,"1,293",14.4,0,0,0,0
Dan Burn,DF,Brighton,27,34,33,"2,880",32,0,0,0,0
Emi Buendía,"FW,MF",Norwich City,22,36,28,"2,464",27.4,1,7,1,0
Josh Brownhill,MF,Burnley,23,10,9,805,8.9,0,0,0,0
David Brooks,MF,Bournemouth,22,9,8,506,5.6,1,0,1,0
Armando Broja,FW,Chelsea,17,1,0,5,0.1,0,0,0,0
Claudio Bravo,GK,Manchester City,36,4,3,347,3.9,0,0,0,0
Jarrad Branthwaite,DF,Everton,17,4,2,300,3.3,0,0,0,0
Robbie Brady,MF,Burnley,27,17,5,454,5,1,2,1,0
Jarrod Bowen,FW,West Ham,22,13,11,917,10.2,1,4,1,0
Sofiane Boufal,"MF,FW",Southampton,25,20,8,764,8.5,0,2,0,0
Gaëtan Bong,"MF,DF",Brighton,31,4,0,59,0.7,0,0,0,0
Willy Boly,DF,Wolves,28,22,22,"1,979",22,0,1,0,0
Yves Bissouma,MF,Brighton,22,22,15,"1,259",14,1,0,1,0
Philip Billing,MF,Bournemouth,23,34,29,"2,530",28.1,1,1,1,0
Muhamed Bešić,MF,Sheffield Utd,26,9,2,250,2.8,0,0,0,0
Ryan Bertrand,DF,Southampton,29,32,31,"2,742",30.5,1,1,1,0
Bernardo,DF,Brighton,24,14,7,679,7.5,0,0,0,0
Bernard,"MF,FW",Everton,26,27,15,"1,280",14.2,3,2,3,0
Steven Bergwijn,"FW,MF",Tottenham,21,14,8,704,7.8,3,1,3,0
Sander Berge,MF,Sheffield Utd,21,14,12,943,10.5,1,1,1,0
Jóhann Berg Guðmundsson,MF,Burnley,28,12,6,621,6.9,1,1,1,0
Christian Benteke,FW,Crystal Palace,28,24,13,"1,261",14,2,1,2,0
Nabil Bentaleb,MF,Newcastle Utd,24,12,8,751,8.3,0,0,0,0
Ryan Bennett,DF,Wolves,29,11,7,606,6.7,0,0,0,0
Ryan Bennett,DF,Leicester City,29,5,3,331,3.7,0,0,0,0
Héctor Bellerín,DF,Arsenal,24,15,13,"1,158",12.9,1,0,1,0
Jan Bednarek,DF,Southampton,23,34,34,"3,057",34,1,1,1,0
Michy Batshuayi,FW,Chelsea,25,16,1,239,2.7,1,1,1,0
Borja Bastón,"MF,FW",Aston Villa,26,2,0,18,0.2,0,0,0,0
Chris Basham,DF,Sheffield Utd,31,38,38,"3,242",36,0,1,0,0
Harvey Barnes,"MF,FW",Leicester City,21,36,24,"2,083",23.1,6,8,6,0
Ashley Barnes,FW,Burnley,29,19,17,"1,352",15,6,0,5,1
Ross Barkley,MF,Chelsea,25,21,13,"1,103",12.3,1,4,1,0
Phil Bardsley,DF,Burnley,34,21,21,"1,890",21,0,1,0,0
George Baldock,DF,Sheffield Utd,26,38,38,"3,420",38,2,3,2,0
Fabián Balbuena,DF,West Ham,27,17,13,"1,177",13.1,1,0,1,0
Leighton Baines,DF,Everton,34,8,4,404,4.5,0,0,0,0
Eric Bailly,DF,Manchester Utd,25,4,1,150,1.7,0,0,0,0
César Azpilicueta,DF,Chelsea,29,36,36,"3,229",35.9,2,6,2,0
Jordan Ayew,"FW,MF",Crystal Palace,27,37,37,"3,148",35,9,2,9,0
Serge Aurier,DF,Tottenham,26,33,31,"2,700",30,1,5,1,0
Pierre-Emerick Aubameyang,FW,Arsenal,30,36,35,"3,136",34.8,22,3,20,2
Christian Atsu,"FW,MF",Newcastle Utd,27,19,6,749,8.3,0,3,0,0
Kepa Arrizabalaga,GK,Chelsea,24,33,33,"2,970",33,0,0,0,0
